,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,warp_weft,density_coefficient,kmeans_dens
14,14.0,93,0.0,0.0,2007-0082-002,,190,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,uneven,,,,0.2,0.4,"0,3",0.2,0.5,"0,35",22.0,16.0,0.3,0.35,1.38,1.38,0
16,16.0,95,0.0,1.0,2007-0038-003,,85,44,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.4,0.6,"0,5",18.0,14.0,0.4,0.5,1.29,1.29,1
23,23.0,95,0.0,1.0,2007-0050-009,,100,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.5,"0,4",52.0,17.0,0.25,0.4,3.06,3.06,2
30,30.0,108,0.0,0.0,2007-0047-002,,50,290,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,"0,35",0.2,0.5,"0,35",16.0,14.0,0.35,0.35,1.14,1.14,1
35,34.0,133,0.0,0.0,2010- 0001-001,,100,70,sewn_item,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.2,"0,25",0.3,0.4,"0,35",36.0,13.0,0.2,0.35,2.77,2.77,2
37,36.0,133,0.0,0.0,2010- 0001-002,,8,18,band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.4,0.6,"0,5",32.0,14.0,0.3,0.5,2.29,2.29,0
38,37.0,133,0.0,0.0,2008-0036-001-01,,6,14,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.6,"0,5",0.4,0.5,"0,45",14.0,16.0,0.5,0.45,0.88,0.88,1
40,39.0,133,0.0,0.0,2008-0036-001-03,,12,120,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.6,"0,45",36.0,14.0,0.4,0.45,2.57,2.57,2
43,42.0,133,0.0,0.0,2008-0036-001-06,,10,40,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57,2
44,42.0,133,0.0,0.0,2008-0036-001-06,,20,15,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57,2
45,42.0,133,0.0,0.0,2008-0036-001-06,,14,25,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",36.0,14.0,0.3,0.3,2.57,2.57,2
47,44.0,133,0.0,0.0,2008-0036-001-09,,10,20,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.4,"0,3",0.2,0.3,"0,25",40.0,14.0,0.3,0.25,2.86,2.86,2
69,64.0,159,1.0,0.0,2008-0001,,205,235,fabric,0,mono,fragment,tabby,linen,linen,no,no,S,S,uneven,medium,,,,0.2,0.4,"0,3",0.3,0.6,"0,45",24.0,14.0,0.3,0.45,1.71,1.71,0
71,66.0,159,1.0,0.0,2008-0001-002-01,,155,230,funeral_shroud,2,composite,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.4,"0,3",0.2,0.4,"0,3",16.0,16.0,0.3,0.3,1.0,1.0,1
74,69.0,159,0.0,1.0,2008-001-003-04,,480,320,fabric,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.3,0.5,"0,4",24.0,15.0,0.3,0.4,1.6,1.6,0
76,71.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,1,composite,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.4,0.5,"0,45",0.2,0.4,"0,3",36.0,16.0,0.45,0.3,2.25,2.25,2
78,73.0,159,0.0,1.0,2008-001-003-05,,160,65,fabric,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.5,"0,4",0.3,0.5,"0,4",22.0,16.0,0.4,0.4,1.38,1.38,0
83,78.0,"160, 165-167",0.0,0.0,2008-002-010-01,,500,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,loose,,,,0.2,0.3,"0,25",0.1,0.2,"0,15",42.0,16.0,0.25,0.15,2.62,2.62,2
99,91.0,163,0.0,1.0,2008-008-03,,100,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.2,"0,2",44.0,13.0,0.25,0.2,3.38,3.38,2
100,91.0,163,0.0,1.0,2008-008-03,,850,25,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.2,"0,2",44.0,13.0,0.25,0.2,3.38,3.38,2
101,91.0,163,0.0,1.0,2008-008-03,,380,25,n_band,3,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.2,"0,2",44.0,13.0,0.25,0.2,3.38,3.38,2
102,91.0,163,0.0,1.0,2008-008-03,,210,25,n_band,4,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.2,"0,2",44.0,13.0,0.25,0.2,3.38,3.38,2
103,91.0,163,0.0,1.0,2008-008-03,,180,25,n_band,5,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.2,"0,2",44.0,13.0,0.25,0.2,3.38,3.38,2
107,95.0,163,0.0,1.0,2008-008-08,,170,90,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,"0,35",0.3,0.3,"0,3",34.0,14.0,0.35,0.3,2.43,2.43,0
111,99.0,173,0.0,1.0,2008-0031-003-02,,420,20,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.6,"0,45",0.3,0.5,"0,4",28.0,14.0,0.45,0.4,2.0,2.0,0
113,101.0,173,0.0,1.0,2008-0031-003-04,,260,160,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,15.0,0.5,0.4,1.73,1.73,0
114,102.0,173,0.0,1.0,2008-0031-003-05,,110,30,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,15.0,0.5,0.4,1.73,1.73,0
115,103.0,173,0.0,1.0,2008-0031-003-06,,100,15,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,18.0,0.5,0.4,1.44,1.44,0
116,104.0,173,0.0,1.0,2008-0031-003-07,,360,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.7,"0,5",0.4,0.5,"0,45",36.0,10.0,0.5,0.45,3.6,3.6,2
117,105.0,173,0.0,1.0,2008-0031-003-08,,190,45,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.7,"0,5",0.4,0.5,"0,45",36.0,10.0,0.5,0.45,3.6,3.6,2
120,108.0,173,0.0,1.0,2008-0031-003-11,,50,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",27.0,16.0,0.5,0.5,1.69,1.69,0
125,113.0,173,0.0,1.0,2008-0031-003-16,,40,15,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",26.0,18.0,0.5,0.4,1.44,1.44,0
166,137.0,182,0.0,1.0,2008-0028-005-14,,100,60,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",42.0,15.0,0.25,0.35,2.8,2.8,2
170,139.0,185,0.0,1.0,2008-0037-009-03,,100,50,m_band,0,mono,fragment,,linen,linen,no,no,S,S,medium,uneven,,,,0.3,0.5,,0.5,0.6,"0,55",28.0,14.0,0.4,0.55,2.0,2.0,0
171,140.0,185,0.0,1.0,2008-0037-009-04,,120,25,n_band,0,mono,fragment,,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.5,,0.5,0.8,,42.0,7.0,0.35,0.65,6.0,6.0,2
193,150.0,193,0.0,0.0,2008-0058-001-02,,30,40,textile,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.4,0.6,"0,5",14.0,14.0,0.5,0.5,1.0,1.0,1
199,156.0,196,3.0,0.0,2008-0070-003-04,,200,100,w_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,loose,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",40.0,20.0,0.25,0.35,2.0,2.0,2
211,163.0,196,3.0,0.0,2008-0070-003-14,,85,30,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",48.0,10.0,0.25,0.35,4.8,4.8,2
213,165.0,196,3.0,0.0,2008-0070-003-16,,230,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",52.0,12.0,0.25,0.35,4.33,4.33,2
220,171.0,196,3.0,0.0,2008-0070-003-23,,110,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.5,"0,4",52.0,14.0,0.25,0.4,3.71,3.71,2
222,173.0,196,3.0,0.0,2008-0070-003-25,,220,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.3,0.4,"0,35",50.0,10.0,0.25,0.35,5.0,5.0,2
223,174.0,196,3.0,0.0,2008-0070-003-26,,145,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,"0,3",0.3,0.4,"0,35",32.0,14.0,0.3,0.35,2.29,2.29,0
230,176.0,200,0.0,1.0,2008-0118-006,,720,38,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,"0,25",0.2,0.3,"0,25",42.0,10.0,0.25,0.25,4.2,4.2,2
290,211.0,212,2.0,0.0,2008-0142-004,,700,250,funeral_shroud,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",22.0,18.0,0.5,0.4,1.22,1.22,0
301,218.0,217,0.0,1.0,2008-138-003-02,,200,25,n_band,1,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",22.0,14.0,0.5,0.4,1.57,1.57,0
302,218.0,217,0.0,1.0,2008-138-003-02,,180,25,n_band,2,composite,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",22.0,14.0,0.5,0.4,1.57,1.57,0
303,219.0,217,0.0,1.0,2008-138-003-03,,220,20,n_band,1,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.4,0.6,"0,5",0.3,0.5,"0,4",28.0,14.0,0.5,0.4,2.0,2.0,0
